id,name,alias,iata,icao,callsign,country,active
812,Aerotaxis Dosmil,\N,,DML,,Mexico,N
813,Aerodespachos De El Salvador,\N,,DNA,AERODESPACHOS,El Salvador,N
814,Aeroynamics Malaga,\N,,DNC,FLYINGOLIVE,Spain,N
815,Aerodynamics Incorporated,\N,,DNJ,DYNAJET,United States,N
816,Aeroflot-Don,\N,D9,DNV,DONAVIA,Russia,Y
817,Air Madrid,\N,NM,DRD,ALADA AIR,Spain,Y
818,Airways Flight Training,\N,,DRM,DARTMOOR,United Kingdom,N
819,Aeronaves Del Noreste,\N,,DRO,AERONORESTE,Mexico,N
820,Addis Air Cargo Services,\N,,DSC,ADDIS CARGO,Ethiopia,N
821,Aero Algarve,\N,,DSK,SKYBANNER,Portugal,N
822,Aex Air,\N,,DST,DESERT,United States,N
823,Aero Davinci International,\N,,DVI,AERO DAVINCI,Mexico,N
824,Aero Dynamics,\N,,DYN,AERO DYNAMIC,United States,N
825,Aeroservicios Ecuatorianos,\N,,EAE,AECA,Ecuador,N
826,Aero-Pyrenees,\N,,EAP,AERO-PYRENEES,France,N
827,Air Transport,\N,,EAT,TRANS EUROPE,Slovakia,N
828,Aero Airlines,\N,EE,EAY,REVAL,Estonia,N
829,Aero Ejecutivo De Baja California,\N,,EBC,CALIXJET,Mexico,N
830,Air City,\N,4F,ECE,AIRCITY,Germany,N
831,Aero Ejecutivos RCG,\N,,ECG,EJECTUIVOS RCG,Mexico,N
832,Aeronautica Castellana,\N,,ECL,AERO CASTELLANA,Spain,N
833,Aerolineas Comerciales,\N,,ECM,AERO COMERCIALES,Mexico,N
834,Aerolineas Nacionales Del Ecuador,\N,,EDA,ANDES,Ecuador,N
835,Air Este,\N,,EET,AESTE,Spain,N
836,Air Mana,\N,,EFC,FLIGHT TAXI,France,N
837,Aer Lingus,\N,EI,EIN,SHAMROCK,Ireland,Y
838,Aeroservicios Ejecutivos Corporativos,\N,,EJP,EJECCORPORATIVOS,Mexico,N
839,Alpi Eagles,\N,E8,ELG,ALPI EAGLES,Italy,N
840,Arrendoora y Transportadora Aerea,\N,,END,ARRENDADORA,Mexico,N
841,Eliossola,\N,,EOS,ELIOSSOLA,Italy,N
842,Shenzhen Donghai Airlines,\N,,EPA,DONGHAI AIR,China,N
843,Aeronaves Del Noroeste,\N,,ENW,AERONOR,Spain,N
844,Airailes,\N,,EOL,EOLE,France,N
845,Aero Ermes,\N,,EOM,AERO ERMES,Mexico,N
846,Aero Transportes Empresariales,\N,,EPL,EMPRESARIALES,Mexico,N
847,Epps Air Service,\N,,EPS,EPPS AIR,United States,N
848,Aero Empresarial,\N,,EPE,AEROEMPRESARIAL,Mexico,N
849,Air S,\N,KY,EQL,EQUATORIAL,Air S,N
850,Avianergo,\N,,ERG,AVIANERGO,Russia,N
851,Aero Servicios Regiomontanos,\N,,ERI,ASERGIO,Mexico,N
852,Aerosec,\N,,ERK,AEROSEC,Chile,N
853,Aeromaan,\N,,ERM,EOMAAN,Mexico,N
854,Aerosaba,\N,,ESB,AEROSABA,Mexico,N
855,Avitat,\N,,ESO,,United Kingdom,N
856,Aerolineas Ejecutivas Del Sureste,\N,,ESU,ALESUR,Mexico,N
857,Aeronautica Le Esperanza,\N,,ESZ,ESPERANZA,Mexico,N
858,ATTICO,\N,,ETC,TRANATTICO,Sudan,N
859,Aero Siete,\N,,ETE,AEROSIETE,Mexico,N
860,Air Atlanta Europe,\N,,EUK,SNOWBIRD,United Kingdom,N
861,Air Evex,\N,,EVE,SUNBEAM,Germany,N
862,Aeronautical Academy of Europe,\N,,EVR,DIANA,Portugal,N
863,Air Exchange,\N,,EXG,EXCHANGE,United States,N
864,Atlantic Helicopters,\N,,FAC,FAROECOPTER,Denmark,N
865,Argentine Air Force,\N,,FAG,FUAER,Argentina,N
866,Air Fiji,\N,PC,FAJ,FIJIAIR,Fiji,N
867,AF-Air International,\N,,FAN,FANBIRD,Angola,N
868,Aviation Data Systems,\N,,FBW,,United States,N
869,Air Carriers,\N,,FCI,FAST CHECK,United States,N
870,Aerofrisco,\N,,FCO,AEROFRISCO,Mexico,N
871,Alfa 4,\N,,FCU,,Mexico,N
872,African Airlines,\N,,FDA,AIR SANKORE,Mali,N
873,African Medical and Research Foundation,\N,,FDS,FLYDOC,Kenya,N
874,Aero Freight,\N,,FGT,FREIAERO,Mexico,N
875,Aerosafin,\N,,FIC,AEROSAFIN,Mexico,N
876,Air Finland,\N,OF,FIF,AIR FINLAND,Finland,Y
877,Aerodata Flight Inspection,\N,,FII,FLIGHT CHECKER,Germany,N
878,Airfix Aviation,\N,,FIX,AIRFIX,Finland,Y
879,Air Pacific,\N,FJ,FJI,PACIFIC,Fiji,Y
880,Air Falcon,\N,,FLD,,Pakistan,N
881,Atlantic Airways,\N,RC,FLI,FAROELINE,Faroe Islands,Y
882,Air Florida,\N,QH,FLZ,AIR FLORIDA,United States,Y
883,Air Fret De Mauritanie,\N,,FMT,,Mauritania,N
884,Avio Nord,\N,,FNM,,Italy,N
885,Aeroflota Del Noroeste,\N,,FNO,RIAZOR,Spain,N
886,Aero Fenix,\N,,FNX,AERO FENIX,France,N
887,Ford Motor Company,\N,,FRD,FORD,United States,N
888,African Company Airlines,\N,,FPY,AFRICOMPANY,Democratic Republic of the Congo,N
889,Afrijet Airlines,\N,,FRJ,AFRIJET,Nigeria,N
890,Afrika Aviation Handlers,\N,,FRK,AFRIFAST,Kenya,N
891,Afrique Chart'air,\N,,FRQ,CHARTER AFRIQUE,Cameroon,N
892,Aerofreight Airlines,\N,,FRT,,Russia,N
893,Aereos Limited,\N,,FST,FAST TRACK,United Kingdom,N
894,Air Affaires Tchad,\N,,FTC,AFFAIRES TCHAD,Chad,N
895,ABC Bedarsflug,\N,,FTY,FLY TYROL,Austria,N
896,Air Iceland,\N,NY,FXI,FAXI,Iceland,Y
897,Air Philippines,\N,2P,GAP,ORIENT PACIFIC,Philippines,Y
898,Aerogaucho,\N,,GAU,AEROGAUCHO,Uruguay,N
899,Aero Business Charter,\N,,GBJ,GLOBAL JET,Germany,N
900,Atlantic Airlines,\N,,GBN,ATLANTIC GABON,Gabon,N
901,Aeronor,\N,,GCF,AEROCARTO,Spain,N
902,Aerogem Cargo,\N,,GCK,AEROGEM,Ghana,N
903,Aerovias del Golfo,\N,,GFO,AEROVIAS GOLFO,Mexico,N
904,Aeronautica,\N,,GGL,GIRA GLOBO,Angola,N
905,Air Georgian,\N,ZX,GGN,GEORGIAN,Canada,N
906,Aviance,\N,,GHL,HANDLING,United Kingdom,N
907,Air Ghana,\N,,GHN,AIR GHANA,Ghana,N
908,African International Transport,\N,,GIL,AFRICAN TRANSPORT,Guinea,N
909,Air Guinee Express,\N,2U,GIP,FUTURE EXPRESS,Guinea,Y
910,Africa Airlines,\N,,GIZ,AFRILENS,Guinea,N
911,Air Gemini,\N,,GLL,TWINS,Angola,N
912,Aero Charter,\N,,GLT,GASLIGHT,United States,N
913,Aguilas Mayas Internacional,\N,,GME,MAYAN EAGLES,Guatemala,N
914,Aerotaxis Guamuchil,\N,,GMM,AEROGUAMUCHIL,Mexico,N
915,Aeroservicios Gama,\N,,GMS,SERVICIOS GAMA,Mexico,N
916,Amber Air,\N,0A,GNT,GINTA,Lithuania,N
917,Alberta Government,\N,,GOA,ALBERTA,Canada,N
918,Air Scotland,\N,,GRE,GREECE AIRWAYS,Greece,N
919,Air Georgia,\N,DA,GRG,AIR GEORGIA,Georgia,N
920,Air Cargo Center,\N,,GRI,,Sao Tome and Principe,N
921,Air Greenland,\N,GL,GRL,GREENLAND,Denmark,Y
922,Allegro,\N,LL,GRO,ALLEGRO,Mexico,N
923,Agroar - Trabalhos Aereos,\N,,GRR,AGROAR,Portugal,N
924,Aircompany Grodno,\N,,GRX,GRODNO,Belarus,N
925,Airlift Alaska,\N,,GSP,GREEN SPEED,United States,N
926,Agrocentr-Avia,\N,,GSV,AGRAV,Kazakhstan,N
927,Altin Havayolu Tasimaciligi Turizm Ve Ticaret,\N,,GTC,GOLDEN WINGS,Turkey,N
928,Atlas Air,\N,5Y,GTI,GIANT,United States,Y
929,Aerotaxi Grupo Tampico,\N,,GTP,GRUPOTAMPICO,Mexico,N
930,Aerotaxis de Aguascalientes,\N,,GUA,AGUASCALIENTES,Mexico,N
931,Air Guyane,\N,GG,GUY,GREEN BIRD,French Guiana,Y
932,Air Victoria Georgia,\N,,GVI,IRINA,Georgia,N
933,Air D'Ayiti,\N,H9,HAD,HAITI AVIA,Haiti,N
934,Air Comores International,\N,GG,HAH,AIR COMORES,Comoros,N
935,Air Taxi,\N,,HAT,TAXI BIRD,France,N
936,Aerohein,\N,,HEI,AEROHEIN,Chile,N
937,Atlantic Air Lift,\N,,HGH,HIGHER,France,N
938,Atlantic Airlines de Honduras,\N,,HHA,ATLANTIC HONDURAS,Honduras,N
939,Aviacion Ejecutiva De Hildago,\N,,HID,EJECUTIVA HIDALGO,Mexico,N
940,Air Haiti,\N,,HJA,AIRHAITI,Haiti,N
941,Al Rais Cargo,\N,,HJT,AL-RAIS CARGO,United Arab Emirates,N
942,Air-Invest,\N,,HKH,HAWKHUNGARY,Hungary,N
943,Air Tahoma,\N,,HMA,TAHOMA,United States,N
944,Air Nova,\N,,HMT,HAMILTON,Canada,N
945,Aero Homex,\N,,HOM,AERO HOMEX,Mexico,N
946,Almiron Aviation,\N,,HPO,ALMIRON,Uganda,N
947,Avinor,\N,,HQO,,Norway,N
948,Airlink Airways,\N,,HYR,HIGHFLYER,Ireland,N
949,Air Horizon,\N,8C,HZT,HORIZON TOGO,Togo,N
950,AC Insat-Aero,\N,,IAE,,Russia,N
951,Air Inter Cameroun,\N,,ICM,INTER-CAMEROUN,Cameroon,N
952,Air Lift,\N,,IFI,HELLAS LIFT,Greece,N
953,Aero Survey,\N,,IKM,GHANA SURVEY,Ghana,N
954,Aero Airline,\N,,ILK,ILEK,Kazakhstan,N
955,Airtime Charters,\N,,IME,AIRTIME,United Kingdom,N
956,Aerotaxis Cimarron,\N,,IMN,TAXI CIMARRON,Mexico,N
957,Aero International,\N,,INA,AERO-NACIONAL,Mexico,N
958,Aeroingenieria,\N,,ING,AEROINGE,Chile,N
959,Aeroservicios Intergrados de Norte,\N,,INO,INTENOR,Mexico,N
960,Airpull Aviation,\N,,IPL,IPULL,Spain,N
961,Arvand Airlines,\N,,IRD,ARVAND,Iran,N
962,Atlas Aviation Group,\N,,IRH,ATLAS AVIA,Iran,N
963,Aram Airline,\N,,IRW,ARAM,Iran,N
964,Aria Tour,\N,,IRX,ARIA,Iran,N
965,Aerotaxi,\N,,ITE,AEROTAXI,Czech Republic,N
966,Avita-Servicos Aereos,\N,,ITF,AIR AVITA,Angola,N
967,Aero Citro,\N,,ITO,AERO CITRO,Mexico,N
968,Air Executive,\N,,IVE,COMPANY EXEC,Spain,N
969,Aviainvest,\N,,IWS,,Russia,N
970,Air Bagan,\N,W9,JAB,AIR BAGAN,Myanmar,Y
971,Aerojal,\N,,JAD,AEROJAL,Mexico,N
972,Airlink,\N,,JAR,AIRLINK,Austria,N
973,Ambjek Air Services,\N,,JEE,AMBJEK AIR,Nigeria,N
974,Avfinity,\N,,UTX,,United States,N
975,Alexandair,\N,,JMR,ALEXANDAIR,Canada,N
976,Air Jamaica Express,\N,,JMX,JAMAICA EXPRESS,Jamaica,N
977,Air Swift Aviation,\N,,JOA,,Australia,N
978,Aerojobeni,\N,,JOB,JOBENI,Mexico,N
979,Atyrau Air Ways,\N,IP,JOL,EDIL,Kazakhstan,N
980,Aerosmith Aviation,\N,,JPR,JASPER,United States,N
981,Arrendamiento de Aviones Jets,\N,,JTS,AVIONESJETS,Mexico,N
982,Aero Juarez,\N,,JUA,JUAREZ,Mexico,N
983,Air Canada Jazz,\N,QK,JZA,JAZZ,Canada,Y
984,Asia Aero Survey and Consulting Engineers,\N,,KAA,AASCO,Republic of Korea,N
985,Air Kirovograd,\N,,KAD,AIR KIROVOGRAD,Ukraine,N
986,Air Mach,\N,,KAM,ICO-AIR,Italy,N
987,Air Kufra,\N,,KAV,AIRKUFRA,Libya,N
988,Arkhabay,\N,,KEK,ARKHABAY,Kazakhstan,N
989,Aero Charter Krifka,\N,,KFK,KRIFKA AIR,Austria,N
990,Air Kraft Mir,\N,,KFT,AIR KRAFT MIR,Uzbekistan,N
991,Air Concorde,\N,,KGD,CONCORDE AIR,Bulgaria,N
992,Alexandria Airlines,\N,,KHH,,Egypt,N
993,Afit,\N,,KIE,TWEETY,Germany,N
994,Air South,\N,,KKB,KHAKI BLUE,United States,N
995,Atlasjet,\N,KK,KKK,ATLASJET,Turkey,Y
996,Air Mali International,\N,,KLB,TRANS MALI,Mali,N
997,Aerokaluz,\N,,KLZ,AEROKALUZ,Mexico,N
998,Air Koryo,\N,JS,KOR,AIR KORYO,Democratic People's Republic of Korea,Y
999,Araiavia,\N,,KOY,ALEKS,Kazakhstan,N
1000,AeroSucre,\N,,KRE,AEROSUCRE,Colombia,N
1001,Air Kokshetau,\N,,KRT,KOKTA,Kazakhstan,N
1002,Air Kissari,\N,,KSI,KISSARI,Angola,N
1003,Aeronavigaciya,\N,,KTN,AERONAVIGACIYA,Ukraine,N
1004,Alliance Avia,\N,,KVR,KAVAIR,Kazakhstan,N
1005,Av Atlantic,\N,,KYC,DOLPHIN,United States,N
1006,Air Astana,\N,KC,KZR,ASTANALINE,Kazakhstan,Y
1007,Aerovias De Lagos,\N,,LAG,AEROLAGOS,Mexico,N
1008,Albanian Airlines,\N,LV,LBC,ALBANIAN,Albania,Y
1009,Albisa,\N,,LBI,ALBISA,Mexico,N
1010,Albatros Airways,\N,,LBW,ALBANWAYS,Albania,N
1011,Aerolineas Aereas Ejecutivas De Durango,\N,,LDG,DURANGO,Mexico,N
1012,Aerologic,\N,,LDL,,Russia,N
1013,Al-Donas Airlines,\N,,LDN,ALDONAS AIR,Nigeria,N
1014,Aero Lider,\N,,LDR,AEROLIDER,Mexico,N
1015,Aleem,\N,,LEM,,Egypt,N
1016,Aerolineas Ejecutivas,\N,,LET,MEXEJECUTIV,Mexico,N
1017,Air Alfa,\N,,LFA,,Turkey,Y
1018,Aero Control Air,\N,,LFC,LIFE FLIGHT CANADA,Canada,N
1019,Aerolaguna,\N,,LGN,AEROLAGUNA,Mexico,N
1020,Al Ahram Aviation,\N,,LHR,AL AHRAM,Egypt,N
1021,Alidaunia,\N,D4,LID,ALIDA,Italy,N
1022,Al-Dawood Air,\N,,LIE,AL-DAWOOD AIR,Nigeria,N
1023,American Aviation,\N,,LKP,LAKE POWELL,United States,N
1024,Airlink Solutions,\N,,LKS,AIRLIN,Spain,N
1025,Air Solutions,\N,,LKY,LUCKY,United States,N
1026,Alliance Air,\N,CD,LLR,ALLIED,India,N
1027,Aerolima,\N,,LMA,AEROLIMA,Mexico,N
1028,Alamia Air,\N,,LML,ALAMIA AIR,Libya,N
1029,Air Plus Argentina,\N,,LMP,AIR FLIGHT,Argentina,N
1030,Almaty Aviation,\N,,LMT,ALMATY,Kazakhstan,N
1031,Aerolineas Mexicanas J S,\N,,LMX,LINEAS MEXICANAS,Mexico,N
1032,Air Almaty,\N,,LMY,AGLEB,Kazakhstan,N
1033,Air Almaty ZK,\N,,LMZ,ALUNK,Kazakhstan,N
1034,Aerolane,\N,XL,LNE,LAN ECUADOR,Ecuador,Y
1035,Airlink,\N,,LNK,LINK,South Africa,N
1036,Aerolineas Internacionales,\N,,LNT,LINEAINT,Mexico,N
1037,Alok Air,\N,,LOK,ALOK AIR,Sudan,N
1038,Air Saint Louis,\N,,LOU,AIR SAINTLOUIS,Senegal,N
1039,Alpine Aviation,\N,,LPC,NETSTAR,South Africa,N
1040,Air Alps Aviation,\N,A6,LPV,ALPAV,Austria,N
1041,Alrosa-Avia,\N,,LRO,ALROSA,Russia,N
1042,Al Rida Airways,\N,,LRW,AL RIDA,Mauritania,N
1043,Aurela,\N,,LSK,AURELA,Lithuania,N
1044,Aerobusinessservice,\N,,LSM,,Russia,N
1045,Alsair,\N,,LSR,ALSAIR,France,N
1046,Aerotaxis Latinoamericanos,\N,,LTI,LATINO,Mexico,N
1047,Alninati Aeronautics,\N,,LUC,STEF,Switzerland,N
1048,Atlantis European Airways,\N,TD,LUR,,Armenia,Y
1049,Aliven,\N,,LVN,ALIVEN,Italy,N
1050,Aviavilsa,\N,,LVR,AVIAVILSA,Lithuania,N
1051,Air Luxor GB,\N,L8,LXG,LUXOR GOLF,Guinea-Bissau,N
1052,Air Luxor,\N,LK,LXR,AIRLUXOR,Portugal,Y
1053,Apatas Air,\N,,LYT,APATAS,Lithuania,N
1054,Air Ban,\N,,LZP,DOC AIR,Bulgaria,N
1055,Air Lazur,\N,,LZR,LAZUR BEE-GEE,Bulgaria,N
1056,Aerodromo De La Mancha,\N,,MAM,AEROMAN,Spain,N
1057,Air Mauritius,\N,MK,MAU,AIRMAURITIUS,Mauritius,Y
1058,Avag Air,\N,,MBA,AVAG AIR,Austria,N
1059,Air Manas,\N,,MBB,AIR MANAS,Kyrgyzstan,N
1060,Airjet Exploracao Aerea De Carga,\N,,MBC,MABECO,Angola,N
1061,Aeriantur-M,\N,,MBV,AEREM,Moldova,N
1062,Air Mercia,\N,,MCB,WESTMID,United Kingdom,N
1063,Air Medical,\N,,MCD,AIR MED,United Kingdom,N
1064,Aerolineas Marcos,\N,,MCO,MARCOS,Mexico,N
1065,Atlantic Aero and Mid-Atlantic Freight,\N,,MDC,NIGHT SHIP,United States,N
1066,Air Madagascar,\N,MD,MDG,AIR MADAGASCAR,Madagascar,Y
1067,Aerosud Charter,\N,,MDX,MEDAIR,South Africa,N
1068,Air Meridan,\N,,MEF,EMPENNAGE,Nigeria,N
1069,Aero McFly,\N,,MFL,MCFLY,Mexico,N
1070,Asia Pacific Airlines,\N,,MGE,MAGELLAN,United States,N
1071,Aeromagar,\N,,MGS,AEROMAGAR,Mexico,N
1072,Aero Premier De Mexico,\N,,MIE,AEROPREMIER,Mexico,N
1073,Air Moldova,\N,9U,MLD,AIR MOLDOVA,Moldova,Y
1074,Amal Airlines,\N,,MLF,AMAL,Djibouti,N
1075,Air Mali,\N,,MLI,AIR MALI,Mali,N
1076,Air Madeleine,\N,,MLN,AIR MADELEINE,Canada,N
1077,Aermarche,\N,,MMC,AERMARCHE,Italy,N
1078,Air Alsie,\N,,MMD,MERMAID,Denmark,N
1079,Aviation Company Meridian,\N,,MMM,AVIAMERIDIAN,Russia,N
1080,AMP Incorporated,\N,,MMP,AMP-INC,United States,N
1081,Airmax,\N,,MMX,PERUMAX,Peru,N
1082,Aerolineas Amanecer,\N,,MNE,AEROAMANECER,Mexico,N
1083,Aero Mongolia,\N,M0,MNG,AERO MONGOLIA,Mongolia,N
1084,Air Monarch Cargo,\N,,MOC,MONARCH CARGO,Mexico,N
1085,Aeropublicitaria De Angola,\N,,MOP,PUBLICITARIA,Angola,N
1086,Aerolineas De Morelia,\N,,MOR,AEROMORELIA,Mexico,N
1087,Air Plus Comet,\N,A7,MPD,RED COMET,Spain,Y
1088,Aeromexpress,\N,QO,MPX,AEROMEXPRESS,Mexico,N
1089,Air ITM,\N,,MQT,MUSKETEER,France,N
1090,Aeromorelos,\N,,MRL,AEROMORELOS,Mexico,N
1091,Aerocharter,\N,,MRM,MARITIME,Canada,N
1092,Abas,\N,,MRP,ABAS,Czech Republic,N
1093,Air Mauritanie,\N,MR,MRT,MIKE ROMEO,Mauritania,N
1094,Air Cairo,\N,,MSC,,Egypt,N
1095,Air Sport,\N,,MSK,AIR SPORT,Bulgaria,N
1096,Aeromas,\N,,MSM,AEROMAS EXPRESS,Uruguay,N
1097,Aerol,\N,,MSO,MESO AMERICANAS,Mexico,N
1098,Aero-Kamov,\N,,MSV,AERAFKAM,Russia,N
1099,Aerotaxis Metropolitanos,\N,,MTB,AEROMETROPOLIS,Mexico,N
1100,Aeromet Linea Aerea,\N,,MTE,AEROMET,Chile,N
1101,Air Metack,\N,,MTK,AIRMETACK,Angola,N
1102,Air Montegomery,\N,,MTY,MONTY,United Kingdom,N
1103,Aerotaxi Mexicano,\N,,MXO,MAXAERO,Mexico,N
1104,Aero Yaqui Mayo,\N,,MYS,AERO YAQUI,Mexico,N
1105,AVC Airlines,\N,,MZK,,Japan,N
1106,Aerovias Montes Azules,\N,,MZL,MONTES AZULES,Mexico,N
1107,Aeroland Airways,\N,3S,,,Greece,N
1109,Astair,\N,8D,,,Russian Federation,Y
1110,Albarka Air,\N,F4,NBK,AL-AIR,Nigeria,N
1111,ACA-Ancargo Air Sociedade de Transporte de Carga Lda,\N,,NCL,ANCARGO AIR,Angola,N
1112,Aero Servicios de Nuevo Laredo,\N,,NEL,AEROLAREDO,Mexico,N
1113,Angoavia,\N,,NGV,ANGOAVIA,Angola,N
1114,Aeroni,\N,,NID,AERONI,Mexico,N
1115,Aeroejecutiva Nieto,\N,,NIE,AERONIETO,Mexico,N
1116,Aero Contractors,\N,AJ,NIG,AEROLINE,Nigeria,Y
1117,Aerokuzbass,\N,,NKZ,NOVOKUZNETSK,Russia,N
1118,Atlantic Airlines,\N,,NPT,NEPTUNE,United Kingdom,N
1119,Atlantic Richfield Company,\N,,NRS,NORTH SLOPE,United States,N
1120,Aerolineas Sosa,\N,,NSO,SOSA,Honduras,N
1121,Aero Norte,\N,,NTD,,Mexico,N
1122,Air Inter Ivoire,\N,,NTV,INTER-IVOIRE,Ivory Coast,N
1123,Aeroservicios De Nuevo Leon,\N,,NUL,SERVICIOS NUEVOLEON,Mexico,N
1124,Avial NV Aviation Company,\N,,NVI,NEW AVIAL,Russia,N
1125,Airwing,\N,,NWG,NORWING,Norway,N
1126,Air Next,\N,,NXA,BLUE-DOLPHIN,Japan,N
1127,Arkhangelsk 2 Aviation Division,\N,,OAO,DVINA,Russia,N
1128,Aerogisa,\N,,OGI,AEROGISA,Mexico,N
1129,Aerolineas Olve,\N,,OLV,OLVE,Mexico,N
1130,Aeromega,\N,,OMG,OMEGA,United Kingdom,N
1131,Air One Nine,\N,,ONR,EDER,Libya,N
1132,Air Ontario,\N,,ONT,ONTARIO,Canada,N
1133,Aerocorp,\N,,ORP,CORPSA,Mexico,N
1134,Action Air,\N,,ORS,AVIATION SERVICE,Italy,N
1135,Aerosan,\N,,OSN,AEROSAN,Mexico,N
1136,Aviapartner Limited Company,\N,,OSO,,Russia,N
1137,Aliparma,\N,,PAJ,ALIPARMA,Italy,N
1138,Air Parabet,\N,,PBT,PARABET,Bangladesh,N
1139,Air Burundi,\N,8Y,PBU,AIR-BURUNDI,Burundi,N
1140,Aeropostal Cargo de Mexico,\N,,PCG,POSTAL CARGO,Mexico,N
1141,Air Pack Express,\N,,PCK,AIRPACK EXPRESS,Spain,N
1142,Air Palace,\N,,PCS,AIR PALACE,Mexico,N
1143,Aeropelican Air Services,\N,OT,PEL,PELICAN,Australia,Y
1144,Aerolineas Chihuahua,\N,,PFI,PACIFICO CHIHUAHUA,Mexico,N
1145,Air Cargo Express International,\N,,PFT,PROFREIGHT,United States,N
1146,Al Farana Airline,\N,,PHR,PHARAOH,Egypt,N
1147,Ave.com,\N,,PHW,PHOENIX SHARJAH,United Arab Emirates,N
1148,Air South West,\N,,PIE,PIRATE,United Kingdom,N
1149,Aeroservicios California Pacifico,\N,,PIF,AEROCALPA,Mexico,N
1150,AST Pakistan Airways,\N,,PKA,PAKISTAN AIRWAY,Pakistan,N
1151,Aero Personal,\N,,PNL,AEROPERSONAL,Mexico,N
1152,Aero Servicios Platinum,\N,,PNU,AERO PLATINUM,Mexico,N
1153,Apoyo Aereo,\N,,POY,APOYO AEREO,Mexico,N
1154,Aerotransportes Privados,\N,,PRI,AEROPRIV,Mexico,N
1155,Atlantic Coast Jet,\N,,PRT,PATRIOT,United States,N
1156,Air Paradise International,\N,AD,PRZ,RADISAIR,Indonesia,N
1157,Aeroservicio Sipse,\N,,PSE,SIPSE,Mexico,N
1158,Aeroservicios Corporativos De San Luis,\N,,PSL,CORSAN,Mexico,N
1159,Aerotransportes Privados,\N,,PVA,TRANSPRIVADO,Mexico,N
1160,Aereo Taxi Paraza,\N,,PZA,AEREO PARAZA,Mexico,N
1161,Air Class Lineas Aereas,\N,QD,QCL,ACLA,Uruguay,N
1162,Aviation Consultancy Office,\N,,QEA,,Australia,N
1163,Aero Taxi,\N,,QAT,AIR QUASAR,Canada,N
1164,Aero Taxi Aviation,\N,,QKC,QUAKER CITY,United States,N
1165,Aviation Quebec Labrador,\N,,QLA,QUEBEC LABRADOR,Canada,N
1166,African Safari Airways,\N,QS,QSC,ZEBRA,Kenya,N
1167,Aero Quimmco,\N,,QUI,QUIMMCO,Mexico,N
1168,Alada,\N,,RAD,AIR ALADA,Angola,N
1169,Aerotur-Air,\N,,RAI,DIASA,Kazakhstan,N
1170,Air Center Helicopters,\N,,RAP,RAPTOR,United States,N
1171,Aur Rum Benin,\N,,RBE,RUM BENIN,Benin,N
1172,Aeroserivios Del Bajio,\N,,RBJ,AEROBAJIO,Mexico,N
1173,Airbus France,\N,4Y,RBU,AIRBUS FRANCE,France,N
1174,Air Roberval,\N,,RBV,AIR ROBERVAL,Canada,N
1175,Arubaexel,\N,,RBX,ARUBA,Aruba,N
1176,Air Charters Eelde,\N,,RCC,RACER,Netherlands,N
1177,Aerocer,\N,,RCE,AEROCER,Mexico,N
1178,Aeroflot-Cargo,\N,,RCF,AEROFLOT-CARGO,Russia,N
1179,Air Mobility Command,\N,MC,RCH,REACH,United States,N
1180,Air Cassai,\N,,RCI,AIR CASSAI,Angola,N
1181,Aero Renta De Coahuila,\N,,RCO,AEROCOAHUILA,Mexico,N
1182,Aerocorp,\N,,RCP,AEROCORPSA,Mexico,N
1183,Aerolineas Regionales,\N,,RCQ,REGIONAL CARGO,Mexico,N
1184,Atlantic S.L.,\N,,RCU,AIR COURIER,Spain,N
1185,Air Service Center,\N,,RCX,SERVICE CENTER,Italy,N
1186,Adygeya Airlines,\N,,RDD,ADLINES,Russia,N
1187,Air Ada,\N,,RDM,AIR ADA,Mauritania,N
1188,Aer Arann,\N,RE,REA,AER ARANN,Ireland,Y
1189,Aero-Rent,\N,,REN,AERORENT,Mexico,N
1190,Australian Maritime Safety Authority,\N,,RES,RESCUE,Australia,N
1191,Air Austral,\N,UU,REU,REUNION,France,Y
1192,Aero-Rey,\N,,REY,AEROREY,Mexico,N
1193,Aero Africa,\N,,RFC,AERO AFRICA,Swaziland,N
1194,Aerotransportes Rafilher,\N,,RFD,RAFHILER,Mexico,N
1195,Argo,\N,,RGO,ARGOS,Dominican Republic,N
1196,Airbourne School of Flying,\N,,RGT,AIRGOAT,United Kingdom,N
1197,Air Archipels,\N,,RHL,ARCHIPELS,France,N
1198,Aviation Ministry of the Interior of the Russian Federation,\N,,RIF,INTERMIN AVIA,Russian Federation,N
1199,Aeris Gestion,\N,,RIS,AERIS,Spain,N
1200,Asian Spirit,\N,6K,RIT,ASIAN SPIRIT,Philippines,Y
1201,Aeroservicios Jet,\N,,RJS,ASERJET,Mexico,N
1202,Air Afrique,\N,RK,RKA,AIRAFRIC,Ivory Coast,Y
1203,Airlinair,\N,A5,RLA,AIRLINAIR,France,Y
1204,Air Nelson,\N,,RLK,,New Zealand,N
1205,Air Leone,\N,,RLL,AEROLEONE,Sierra Leone,N
1206,Aero Lanka,\N,QL,RLN,AERO LANKA,Sri Lanka,Y
1207,Air Alize,\N,,RLZ,ALIZE,France,N
1208,Air Amder,\N,,RMD,AIR AMDER,Mauritania,N
1209,Armenian Airlines,\N,,RME,ARMENIAN,Armenia,N
1210,Armenian International Airways,\N,MV,RML,,Armenia,N
1211,Arm-Aero,\N,,RMO,ARM-AERO,Armenia,N
1212,Air Max,\N,,RMX,AEROMAX,Bulgaria,N
